title,author,genre,group,reliab,n_chars,n_types,TTR,hapax_ratio,shannon_bits,yule_K,simpson_D,mean_clause_len,n_clauses,func_word_rate,rusheng_rhyme_rate
满江红·怒发冲冠（写怀）,岳飞（传，待考）,词,待考,—,93,87,0.9355,0.931,6.4101,13.87,0.0014,4.23,22,0.1183,1.0
小重山·昨夜寒蛩不住鸣,岳飞,词,岳飞,高,58,57,0.9828,0.9825,5.8235,5.95,0.0006,4.83,12,0.1897,0.0
满江红·登黄鹤楼有感,岳飞,词,岳飞,中,93,89,0.957,0.9551,6.4531,9.25,0.0009,4.23,22,0.1398,1.0
题青泥市萧寺壁,岳飞,诗,岳飞,高,28,27,0.9643,0.963,4.7359,25.51,0.0026,7.0,4,0.1429,0.0
池州翠微亭,岳飞,诗,岳飞,高,28,26,0.9286,0.9231,4.6645,51.02,0.0053,7.0,4,0.1429,0.0
送紫岩张先生北伐,岳飞,诗,岳飞,中,40,40,1.0,1.0,5.3219,0.0,0.0,5.0,8,0.125,0.0
寄浮图慧海,岳飞,诗,岳飞,中,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.0,8,0.1071,0.0
题翠岩寺,岳飞（传）,诗,岳飞,低,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.0,8,0.1429,0.0
五岳祠盟记,岳飞,文,岳飞,高,134,109,0.8134,0.8073,6.6704,32.3,0.0033,4.62,29,0.2388,0.1667
题骤马冈,岳飞,诗,岳飞,中,56,56,1.0,1.0,5.8074,0.0,0.0,7.0,8,0.125,0.0
题鄱阳龙居寺,岳飞,诗,岳飞,中,40,40,1.0,1.0,5.3219,0.0,0.0,5.0,8,0.125,0.0
过张溪赠张完,岳飞,诗,岳飞,中,28,27,0.9643,0.963,4.7359,25.51,0.0026,7.0,4,0.1786,0.0
送轸上人之庐山,岳飞,诗,岳飞,中,56,56,1.0,1.0,5.8074,0.0,0.0,7.0,8,0.2143,0.0
良马对（论马）,岳飞,文,岳飞,中,175,120,0.6857,0.75,6.6197,86.2,0.0087,4.73,37,0.3257,0.0
满江红·与祝允哲述怀,岳飞（族谱所载，存疑）,词,发现存疑,低,93,91,0.9785,0.978,6.4961,4.62,0.0005,4.23,22,0.1398,1.0
满江红·和岳元帅述怀,祝允哲（族谱所载，存疑）,词,发现存疑,低,93,89,0.957,0.9663,6.445,11.56,0.0012,4.23,22,0.0753,1.0
满江红·江汉西来（寄鄂州朱使君寿昌）,苏轼,词,对照,高,93,87,0.9355,0.954,6.3939,18.5,0.0019,4.23,22,0.1935,1.0
次林员外新店驿壁间三首 其一,王越,诗,王越,高,40,40,1.0,1.0,5.3219,0.0,0.0,5.0,8,0.125,0.0
次林员外新店驿壁间三首 其二,王越,诗,王越,高,40,39,0.975,0.9744,5.2719,12.5,0.0013,5.0,8,0.175,0.0
次林员外新店驿壁间三首 其三,王越,诗,王越,高,40,40,1.0,1.0,5.3219,0.0,0.0,5.0,8,0.125,0.0
登大同角楼次刘草窗韵,王越,诗,王越,高,56,54,0.9643,0.963,5.7359,12.76,0.0013,7.0,8,0.1071,0.0
东寺寒泉,王越,诗,王越,高,56,54,0.9643,0.963,5.7359,12.76,0.0013,7.0,8,0.0714,0.0
水帘飞雪,王越,诗,王越,高,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.0,8,0.1964,0.0
红山西照,王越,诗,王越,高,56,56,1.0,1.0,5.8074,0.0,0.0,7.0,8,0.1607,0.0
襄阳怀古,王越,诗,王越,高,56,56,1.0,1.0,5.8074,0.0,0.0,7.0,8,0.0714,0.0
同唐佥宪游吉祥寺,王越,诗,王越,高,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.0,8,0.0714,0.0
和邹克清韵 其一,王越,诗,王越,高,56,56,1.0,1.0,5.8074,0.0,0.0,7.0,8,0.1429,0.0
和游卫水韵,王越,诗,王越,高,56,54,0.9643,0.963,5.7359,12.76,0.0013,7.0,8,0.1786,0.0
和邹克清韵 其二,王越,诗,王越,高,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.0,8,0.1786,0.0
自咏,王越,诗,王越,高,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.0,8,0.1429,0.0
次尹同仁冢宰韵,王越,诗,王越,高,56,54,0.9643,0.963,5.7359,12.76,0.0013,7.0,8,0.1786,0.0
端午,王越,诗,王越,高,56,56,1.0,1.0,5.8074,0.0,0.0,7.0,8,0.1071,0.0
次马执之韵,王越,诗,王越,高,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.0,8,0.1429,0.0
过寺吟景,王越,诗,王越,高,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.0,8,0.1607,0.0
过回中山,王越,诗,王越,高,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.0,8,0.1786,0.0
夜坐,王越,诗,王越,高,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.0,8,0.125,0.0
送陈宗理,王越,诗,王越,高,56,54,0.9643,0.963,5.7359,12.76,0.0013,7.0,8,0.1964,0.0
登伾山,王越,诗,王越,高,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.0,8,0.1071,0.0
小金山,王越,诗,王越,高,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.0,8,0.125,0.0
送李世望,王越,诗,王越,高,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.0,8,0.1964,0.0
