对比对象,group,genre,cos_虚词,cos_单字,cos_二元组,JSD_单字,JSD_二元组,KL_待考||对象_单字,Manhattan_单字,Euclid_单字,Jaccard_字,containment_字被覆盖,Dice_字,Jaccard_二元组,containment_二元组
满江红·与祝允哲述怀,发现存疑,词,0.5449,0.5053,0.3913,0.4784,0.6087,10.9183,0.9892,0.1075,0.3588,0.5402,0.5281,0.2432,0.3913
满江红·和岳元帅述怀,发现存疑,词,0.0,0.1731,0.0543,0.8198,0.9457,18.9663,1.6559,0.141,0.1,0.1839,0.1818,0.0279,0.0543
小重山·昨夜寒蛩不住鸣,岳飞,词,0.0,0.1386,0.0414,0.8597,0.9591,20.6439,1.772,0.1609,0.0746,0.1149,0.1389,0.0205,0.0326
过张溪赠张完,岳飞,诗,0.1348,0.1069,0.0201,0.8912,0.9815,21.8685,1.871,0.214,0.0556,0.069,0.1053,0.0085,0.0109
题翠岩寺,岳飞,诗,0.1066,0.141,0.0141,0.877,0.9861,21.1344,1.8065,0.1625,0.0597,0.092,0.1127,0.0068,0.0109
登大同角楼次刘草窗韵,王越,诗,0.0,0.126,0.0141,0.8985,0.9861,21.3935,1.8353,0.1656,0.0444,0.069,0.0851,0.0068,0.0109
满江红·登黄鹤楼有感,岳飞,词,0.0778,0.1068,0.0,0.9032,1.0,21.2053,1.8065,0.1459,0.0476,0.092,0.0909,0.0,0.0
题青泥市萧寺壁,岳飞,诗,0.0,0.0356,0.0,0.9637,1.0,22.9477,1.957,0.2211,0.0179,0.023,0.0351,0.0,0.0
池州翠微亭,岳飞,诗,0.0,0.1035,0.0,0.9001,1.0,21.8685,1.871,0.2199,0.0463,0.0575,0.0885,0.0,0.0
送紫岩张先生北伐,岳飞,诗,0.0,0.1389,0.0,0.8832,1.0,21.109,1.8065,0.1797,0.0496,0.069,0.0945,0.0,0.0
寄浮图慧海,岳飞,诗,0.1231,0.1153,0.0,0.8926,1.0,21.1559,1.821,0.1649,0.0519,0.0805,0.0986,0.0,0.0
五岳祠盟记,岳飞,文,0.1612,0.1197,0.0,0.8696,1.0,20.2527,1.7797,0.1418,0.071,0.1494,0.1327,0.0,0.0
题骤马冈,岳飞,诗,0.3419,0.1043,0.0,0.8985,1.0,21.415,1.8353,0.1641,0.0515,0.0805,0.0979,0.0,0.0
