title,group,genre,geo_西北_贺兰,geo_东北中原,geo_泛指方位,enemy_泛化胡虏匈奴夷,enemy_具体金可汗阏氏,motif_功名,motif_白发年华,motif_收复报国,motif_魏阙面君,motif_靖康,motif_饮血暴烈,命中词例
满江红·怒发冲冠（写怀）,待考,词,2,0,1,4,0,1,2,2,2,1,2,贺兰山/贺兰/山河/胡虏/匈奴/虏/胡/功名/白了少年头/少年头/收拾旧山河/旧山河/朝天阙/天阙/靖康/饮匈奴血/餐胡虏肉
小重山·昨夜寒蛩不住鸣,岳飞,词,0,0,0,0,0,1,1,0,0,0,0,功名/白首
满江红·登黄鹤楼有感,岳飞,词,0,5,0,0,0,0,0,1,0,0,2,河洛/中原/汉阳/清河/郊畿/请缨/锋锷/膏锋
题青泥市萧寺壁,岳飞,诗,0,0,0,0,0,1,0,2,0,0,0,万户侯/还车驾/报君仇
池州翠微亭,岳飞,诗,0,0,0,0,0,0,0,0,0,0,0,
送紫岩张先生北伐,岳飞,诗,0,3,0,0,2,0,0,2,0,0,1,燕幽/河洛/神州/可汗/阏氏/恢复/渡河洛/马蹀
寄浮图慧海,岳飞,诗,0,0,0,2,0,1,0,0,0,0,0,虏酋/虏/功业
题翠岩寺,岳飞,诗,0,0,2,0,1,1,0,1,0,0,0,沙漠/三关/金酋/功名/迎二圣
五岳祠盟记,岳飞,文,0,4,2,9,0,0,0,2,1,0,1,河朔/中原/京阙/沙漠/故地/夷狄/夷荒/夷种/虏廷/虏/夷/迎二圣/取故地/蹀血
题骤马冈,岳飞,诗,0,1,0,0,0,0,0,2,0,0,0,神州/返神州/酬明圣
题鄱阳龙居寺,岳飞,诗,0,0,0,0,0,0,1,0,0,0,0,白雪老僧头
过张溪赠张完,岳飞,诗,0,0,0,0,0,0,1,0,0,0,0,白发
送轸上人之庐山,岳飞,诗,0,0,0,0,0,0,0,0,0,0,0,
良马对（论马）,岳飞,文,0,0,0,0,0,0,0,0,0,0,0,
满江红·与祝允哲述怀,发现存疑,词,0,1,1,4,1,0,2,0,1,1,2,金城/山河/胡虏/匈奴/虏/胡/白了少年头/少年头/门阙/靖康/饮匈奴血/餐胡虏肉
满江红·和岳元帅述怀,发现存疑,词,2,2,0,2,1,1,0,1,3,0,0,贺兰山/贺兰/五国城/雁门/胡羯/胡/金兀/功名/迎二帝/朝天阙/天阙/金銮
满江红·江汉西来（寄鄂州朱使君寿昌）,对照,词,0,0,0,0,0,0,0,0,0,0,0,
次林员外新店驿壁间三首 其一,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
次林员外新店驿壁间三首 其二,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
次林员外新店驿壁间三首 其三,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
登大同角楼次刘草窗韵,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
东寺寒泉,王越,诗,0,0,0,0,0,0,1,0,0,0,0,白头
水帘飞雪,王越,诗,0,0,1,0,0,0,0,0,0,0,0,龙沙
红山西照,王越,诗,0,0,1,0,0,0,0,0,0,0,1,穷边/挥戈
襄阳怀古,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
同唐佥宪游吉祥寺,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
和邹克清韵 其一,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
和游卫水韵,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
和邹克清韵 其二,王越,诗,0,0,0,0,0,1,0,0,0,0,0,军功
自咏,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
次尹同仁冢宰韵,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
端午,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
次马执之韵,王越,诗,0,0,1,0,0,0,0,0,0,0,0,巡边
过寺吟景,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
过回中山,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
夜坐,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
送陈宗理,王越,诗,0,1,0,0,0,0,0,0,1,0,0,神州/宫阙
登伾山,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
小金山,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
送李世望,王越,诗,0,0,0,0,0,0,0,0,0,0,0,
