 			第七部
[			第二部,第七部,第十八部
]			第二部,第七部,第十八部
㛀	平去	P:七虞,P:十一尤,Q:二十六宥	
㛤	平	P:四支	
㟥	平	P:十二侵	
㤭	平上	P:二萧,S:十七筱	
㤽	上去	S:十九皓,Q:二十六宥	
㥪	平	P:七虞,P:十一尤	
㧑	平	P:四支	
㱩	入	R:一屋	
㲿	上	S:二十二养	
㳡	平	P:五歌	
㴋	入	R:一屋	
㶉	平	P:八齐	
䃅	平	P:八齐	
䇲	入	R:十一陌,R:十七洽	
䉤	上	S:七麌,S:二十五有	
䌷	平	P:十一尤	
䌹	平上	P:九青,S:二十四迥	
䍁	去	Q:四寘	
䏝	上	S:十六铣	
䓖	平	P:一东	
䗖	去	Q:八霁	
䜣	平	P:十二文	
䝙	平	P:七虞	
䥽	入	R:七曷	
䦆	入	R:十药	
䩄	上	S:十六铣	
䯄	平	P:九佳,P:六麻	
䴔	平	P:三肴	第八部
䴖	平	P:八庚	第十一部
一	入	R:四质	第十七部
丁	平	P:八庚,P:九青	第十一部
七	入	R:四质	第十七部
万	去	Q:十四愿	第七部
丈	上	S:二十二养	第二部
三	平去	P:十三覃,Q:二十八勘	第十四部
上	上去	S:二十二养,Q:二十三漾	第二部
下	上去	S:二十一马,Q:二十二祃	第十部
不	平入	P:十一尤,R:五物	第十二部,第十八部
与	平上去	P:六鱼,S:六语,Q:六御	第四部
丐	去	Q:九泰	第五部
丑	上	S:二十五有	第十二部
专	平	P:一先	第七部
且	平上	P:六鱼,S:二十一马	第十部
丕	平	P:四支	第三部
世	去	Q:八霁	第三部
丘	平	P:十一尤	第十二部
丙	上	S:二十三梗	第十一部
业	入	R:十五合,R:十七洽	第十九部
丛	平	P:一东	第一部
东	平	P:一东	第一部
丝	平	P:四支	第三部
丞	平	P:十蒸	第十一部
两	上去	S:二十二养,Q:二十三漾	第二部
严	平	P:十四盐,P:十五咸	第十四部
丧	平去	P:七阳,Q:二十三漾	第二部
个	去	Q:二十一个	第九部
丫	平	P:六麻	第十部
中	平去	P:一东,Q:一送	第一部
丰	平	P:一东,P:二冬	第一部
丱	去	Q:十六谏	
串	去	Q:十六谏,Q:十七霰	第七部
丳	上	S:十五潸	
临	平去	P:十二侵,Q:二十七沁	第十三部
丸	平	P:十四寒	第七部
丹	平	P:十四寒	第七部
为	平去	P:四支,Q:四寘	第三部
主	上	S:七麌	第四部
丽	平去	P:四支,Q:八霁	第三部
举	上	S:六语	第四部
乂	去	Q:十一队	
乃	上	S:十贿	第五部
久	上	S:二十五有	第十二部
么	平上	P:二萧,P:五歌,S:二十哿	第八部,第九部
义	去	Q:四寘	第三部
之	平	P:四支	第三部
乌	平	P:七虞	第四部
乍	去	Q:二十二祃	第十部
乎	平	P:七虞	第四部,第十八部
乏	入	R:十七洽	第十九部
乐	去入	Q:十九效,R:三觉,R:十药	第十六部
乔	平	P:二萧	第八部
乖	平	P:四支,P:九佳	第五部
乘	平去	P:十蒸,Q:二十五径	第十一部
乙	入	R:四质	第十七部
九	上	S:二十五有	第十二部
乞	入	R:五物	第十八部
也	上	S:二十一马	第十部
习	入	R:十四缉	第十七部
乡	平去	P:七阳,Q:二十三漾	第二部
书	平	P:六鱼	第四部
乩	平	P:八齐	
买	上	S:九蟹	第五部
乱	去	Q:十五翰	第七部
乳	上	S:七麌	第四部
了	平上	P:二萧,P:六麻,S:十七筱	第八部
予	平上	P:六鱼,S:六语	第四部
争	平	P:八庚	第十一部
事	去	Q:四寘	第三部
二	去	Q:四寘	第三部
亍	入	R:二沃	
于	平	P:六鱼,P:七虞	第四部
亏	平	P:四支	第三部
云	平	P:十二文	第六部
互	去	Q:七遇	第四部
五	上	S:七麌	第四部
井	上	S:二十三梗	第十一部
亘			第十一部
亚	去	Q:二十二祃	第十部
些	平去	P:五歌,P:六麻,Q:八霁,Q:二十一个	第九部,第十部
亟	去入	Q:四寘,R:十三职	第十七部
亡	平	P:七阳	第二部
亢	平去	P:七阳,Q:二十三漾	第二部
交	平	P:三肴	第八部
亥	上	S:十贿	第五部
亦	入	R:十一陌	第十七部
产	上	S:十五潸	第七部
亨	平	P:八庚	第十一部
亩	上	S:七麌,S:二十五有	第四部,第十二部
享	上	S:二十二养	第二部
京	平	P:八庚	第十一部
亭	平	P:九青	第十一部
亮	去	Q:二十三漾	第二部
亲	平去	P:十一真,Q:十二震	第六部
亳	入	R:十药	
亵	入	R:九屑	第十八部
亶	上	S:十四旱	
亸	上	S:二十哿	第九部
亹	平上	P:十三元,S:五尾	
人	平	P:十一真	第六部
亿	入	R:十三职	第十七部
什	入	R:十四缉	第十七部
仁	平	P:十一真	第六部
仂	入	R:十三职	
仃	平	P:九青	第十一部
仄	入	R:十三职	第十七部
仅	去	Q:十二震	第六部
仆	去入	Q:七遇,Q:二十六宥,R:一屋,R:二沃	第四部,第十二部,第十五部
仇	平	P:十一尤	第十二部
今	平	P:十二侵	第十三部
介	去	Q:十卦	第五部
仍	平	P:十蒸	第十一部
从	平去	P:二冬,Q:二宋	第一部
仑	平	P:十一真,P:十三元	第六部
仓	平	P:七阳	第二部
仔	平上	P:四支,P:十一尤,S:四纸	第三部
仕	上	S:四纸	第三部
他	平	P:五歌	
仗	上去	S:二十二养,Q:二十三漾	第二部
付	去	Q:七遇	第四部
仙	平上	P:一先,S:十三阮	第七部
仚	平	P:一先	
仞	去	Q:十二震	第六部
仟	平	P:一先	
仡	入	R:五物	
代	去	Q:十一队	第五部
令	平去	P:八庚,Q:二十四敬	第十一部
以	上	S:四纸	第三部
仪	平	P:四支	第三部
仰	上去	S:二十二养,Q:二十三漾	第二部
仲	去	Q:一送	第一部
仳	上	S:四纸	
仵	上	S:七麌	第四部
件	上	S:十六铣	第七部
价	去	Q:十卦,Q:二十二祃	第十部
任	平去	P:十二侵,Q:二十七沁	第十三部
份	平	P:十一真	
仿	上	S:二十二养	第二部
企	上去	S:四纸,Q:四寘	第三部
伉	去	Q:二十三漾	第二部
伊	平	P:四支	第三部
伋	入	R:十四缉	
伍	上	S:七麌	第四部
伎	平	P:四支	
伏	去入	Q:二十六宥,R:一屋,R:十三职	第十五部
伐	入	R:六月	第十八部
休	平	P:十一尤	第十二部
众	去	Q:一送	第一部
优	平上	P:十一尤,S:二十五有	第十二部
伙	上	S:九蟹,S:二十哿	第九部
会	去	Q:九泰	第三部
伛	上	S:七麌	
伞	上去	S:十四旱,Q:十五翰	第七部
伟	上	S:五尾	第三部
传	平去	P:一先,Q:十七霰	第七部
伣	去	Q:十七霰	
伤	平	P:七阳	第二部
伥	平去	P:七阳,Q:二十四敬	
伦	平	P:十一真	第六部
伧	平	P:八庚	第十一部
伪	去	Q:四寘	第三部
伫	上	S:六语	第四部
伯	入	R:十一陌	第十七部
估	上	S:七麌	第四部
伴	上去	S:十四旱,Q:十五翰	第七部
伶	平	P:九青	第十一部
伸	平	P:十一真	第六部
伺	去	Q:四寘	第三部
伻	平	P:八庚	
似	上	S:四纸	第三部
伽	平	P:五歌	
伾	平	P:四支	
佃	平去	P:一先,Q:十七霰	第七部
但	上去	S:十四旱,Q:十五翰	第七部
佌	上	S:四纸	
位	去	Q:四寘	第三部
低	平	P:八齐	第三部
住	去	Q:七遇	第四部
佐	去	Q:二十一个	第九部
佑	去	Q:二十六宥	第十二部
体	上	S:八荠	第三部
何	平	P:五歌	第九部
佖	入	R:四质	
佗	平	P:五歌	第九部
佘	平	P:六麻	第十部
余	平	P:六鱼	
佚	入	R:四质	第十七部
佛	入	R:四质,R:五物	第十八部
作	去入	Q:七遇,Q:二十一个,R:十药	第九部,第十六部
佞	去	Q:二十五径	第十一部
你	上	S:四纸	第三部
佣	平	P:二冬	第一部
佥	平	P:十四盐	第十四部
佩	去	Q:十一队	第三部
佯	平	P:七阳	第二部
佰	入	R:十一陌	
佳	平	P:四支,P:九佳	第五部,第十部
佶	入	R:四质	
佸	入	R:七曷	
佹	上	S:四纸	
佺	平	P:一先	
佻	平上	P:二萧,S:十七筱	第八部
佼	平上	P:三肴,S:十八巧	第八部
佽	去	Q:四寘	
