,贺双卿|凤凰台上忆吹箫·寸寸微云,贺双卿|惜黄花慢·孤雁,贺双卿|望江南·春不见,贺双卿|薄幸·咏疟,贺双卿|春从天上来·饷耕,贺双卿|摸鱼儿·谢邻女韩西馈食,贺双卿|湿罗衣·世间难吐是幽情,贺双卿|一剪梅·寒热如潮势未平,贺双卿|凤凰台上忆吹箫·残灯,贺双卿|春从天上来·梅花,顾太清|高山流水·次夫子清风阁落成韵,顾太清|菩萨蛮·端午日咏盆中菊,顾太清|玉烛新·白海棠,顾太清|临江仙·清明前一日种海棠,顾太清|醉翁操·题云林湖月沁琴图小照,顾太清|金缕曲·咏白海棠,顾太清|南乡子·咏瑞香,顾太清|鹊桥仙·云林瞩题闰七夕联吟图,顾太清|鹊桥仙·丙寅中秋是日秋分,顾太清|江城子·落花,吴藻|金缕曲·闷欲呼天说,吴藻|浣溪沙·一卷离骚一卷经,吴藻|行香子·长夜迢迢,吴藻|金缕曲·生本青莲界,吴藻|如梦令·燕子未随春去,吴藻|苏幕遮·曲栏干,吴藻|洞仙歌·珊珊琐骨,吴藻|水调歌头,吴藻|金缕曲,吴藻|十六字令,纳兰性德|木兰花·拟古决绝词柬友,纳兰性德|浣溪沙·谁念西风独自凉,纳兰性德|长相思·山一程,纳兰性德|浣溪沙·残雪凝辉冷画屏,纳兰性德|画堂春·一生一代一双人,纳兰性德|蝶恋花·出塞,纳兰性德|采桑子·而今才道当时错,纳兰性德|采桑子·明月多情应笑我,纳兰性德|采桑子·谁翻乐府凄凉曲,纳兰性德|临江仙·寒柳,项鸿祚|清平乐·池上纳凉,项鸿祚|减字木兰花·春夜闻隔墙歌吹声,项鸿祚|太常引·客中闻歌,项鸿祚|玉漏迟三首·其二,项鸿祚|水龙吟·秋声,项鸿祚|湘月,项鸿祚|风入松二首 其一,项鸿祚|虞美人二首 其二,项鸿祚|扬州慢·脱叶辞萤,项鸿祚|临江仙四首 其一,史震林|偶成赠懒云上人 其二,史震林|偶成赠懒云上人 其一
贺双卿|凤凰台上忆吹箫·寸寸微云,0.0000,0.8021,0.8413,0.8031,0.9084,0.7907,0.8062,0.8270,0.7531,0.8049,0.8998,0.9033,0.7978,0.9028,0.8225,0.8153,0.9222,0.9087,0.9014,0.8699,0.7986,0.9166,0.7993,0.8535,0.9581,0.8847,0.8586,0.8828,0.8613,0.8095,0.8808,0.9200,0.8665,0.8627,0.8271,0.8303,0.8895,0.9332,0.8723,0.8075,0.8770,0.8883,0.9220,0.8535,0.8385,0.8514,0.8309,0.8985,0.8991,0.8261,0.9148,0.9377
贺双卿|惜黄花慢·孤雁,0.8021,0.0000,0.8852,0.7708,0.8573,0.7554,0.8575,0.7211,0.7460,0.7925,0.8820,0.9265,0.7750,0.9093,0.8006,0.8861,0.8995,0.8917,0.8632,0.8168,0.8593,0.8686,0.8430,0.8592,0.8835,0.8548,0.8243,0.8978,0.8839,0.9204,0.9333,0.9225,0.8373,0.8403,0.8369,0.9054,0.8692,0.8505,0.8717,0.8162,0.8982,0.8824,0.8397,0.7978,0.7262,0.8135,0.8575,0.8804,0.8118,0.8771,0.9353,1.0000
贺双卿|望江南·春不见,0.8413,0.8852,0.0000,0.7920,0.8866,0.7615,0.7543,0.9233,0.8584,0.8109,0.9078,0.8895,0.8515,0.8771,0.8913,0.8419,0.7818,0.8727,0.8729,0.7827,0.8861,0.8660,0.8770,0.8588,0.8964,0.8108,0.8230,0.8858,0.9266,0.8155,0.8615,0.8117,0.9006,0.8880,0.8751,0.8635,0.8363,0.9108,0.8822,0.7936,0.9120,0.7462,0.8810,0.8758,0.8310,0.8625,0.8396,0.8727,0.8113,0.7411,0.9144,0.8768
贺双卿|薄幸·咏疟,0.8031,0.7708,0.7920,0.0000,0.8728,0.7554,0.8686,0.7928,0.7695,0.7525,0.8370,0.9126,0.8146,0.8781,0.8884,0.8165,0.8830,0.8956,0.8705,0.7781,0.8303,0.9434,0.8208,0.8358,0.8758,0.8124,0.8317,0.8524,0.8502,0.9403,0.8476,0.8586,0.8757,0.9070,0.9054,0.9027,0.8612,0.8710,0.8612,0.8050,0.8773,0.8195,0.8366,0.8414,0.8119,0.7921,0.8465,0.9003,0.8251,0.7796,0.9135,0.9423
贺双卿|春从天上来·饷耕,0.9084,0.8573,0.8866,0.8728,0.0000,0.8167,0.7804,0.9317,0.8677,0.7921,0.9478,0.9290,0.9362,0.8437,0.9617,0.8278,0.9245,0.9430,0.8947,0.8478,0.8717,0.8518,0.8720,0.9148,0.8338,0.8676,0.8954,0.8934,0.9454,0.9796,0.9743,0.8901,0.9070,0.9208,0.8574,0.9393,0.8581,0.8397,0.8913,0.8312,0.9452,0.8865,0.7803,0.8731,0.9113,0.9141,0.8899,0.9045,0.8896,0.8256,0.9339,0.9852
贺双卿|摸鱼儿·谢邻女韩西馈食,0.7907,0.7554,0.7615,0.7554,0.8167,0.0000,0.8257,0.8608,0.7590,0.7837,0.8139,0.9202,0.8082,0.8777,0.8505,0.8383,0.9156,0.8795,0.8129,0.8278,0.7985,0.8239,0.8455,0.8297,0.8736,0.7559,0.8243,0.8005,0.8243,0.8863,0.8299,0.8104,0.8374,0.8569,0.7990,0.7928,0.7941,0.8435,0.9366,0.8038,0.8961,0.8207,0.8681,0.7860,0.7762,0.8110,0.8734,0.8582,0.7963,0.8325,0.9724,0.9409
贺双卿|湿罗衣·世间难吐是幽情,0.8062,0.8575,0.7543,0.8686,0.7804,0.8257,0.0000,0.8274,0.7664,0.8277,0.9225,0.9448,0.8709,0.8869,0.9073,0.8367,0.8413,0.9028,0.8819,0.8261,0.8122,0.8290,0.9106,0.7914,0.8856,0.9141,0.8605,0.8509,0.9052,0.9267,0.9107,0.8618,0.9385,0.7904,0.8039,0.8929,0.8604,0.8981,0.8661,0.8215,0.9056,0.8053,0.8354,0.8676,0.8439,0.9512,0.8787,0.8974,0.9309,0.7607,0.9268,0.9419
贺双卿|一剪梅·寒热如潮势未平,0.8270,0.7211,0.9233,0.7928,0.9317,0.8608,0.8274,0.0000,0.7970,0.8035,0.8938,0.8965,0.8178,0.8833,0.8567,0.8959,0.8901,0.9591,0.8384,0.8244,0.8777,0.9141,0.8157,0.8512,0.9339,0.8665,0.8396,0.9252,0.9023,0.9412,0.9246,0.9407,0.8795,0.9011,0.8640,0.8937,0.8451,0.8965,0.8384,0.8833,0.8673,0.9032,0.8160,0.8815,0.8057,0.8855,0.8376,0.8665,0.8915,0.8937,0.8847,0.9595
贺双卿|凤凰台上忆吹箫·残灯,0.7531,0.7460,0.8584,0.7695,0.8677,0.7590,0.7664,0.7970,0.0000,0.7887,0.8906,0.8952,0.8086,0.8953,0.8657,0.8346,0.9146,0.9011,0.8562,0.8175,0.8099,0.8168,0.7955,0.8321,0.8991,0.9054,0.8456,0.8421,0.8631,0.8697,0.8582,0.8860,0.8654,0.8006,0.8143,0.8909,0.8802,0.8412,0.8152,0.7643,0.8677,0.8652,0.8855,0.8015,0.7345,0.8153,0.8192,0.9102,0.7992,0.8111,0.8910,0.9175
贺双卿|春从天上来·梅花,0.8049,0.7925,0.8109,0.7525,0.7921,0.7837,0.8277,0.8035,0.7887,0.0000,0.8543,0.9177,0.7775,0.8946,0.8758,0.8345,0.8564,0.8892,0.8269,0.7950,0.8292,0.9192,0.8329,0.8727,0.8910,0.8135,0.8102,0.8866,0.9110,0.8976,0.9230,0.9015,0.8989,0.9132,0.8442,0.8920,0.8212,0.8199,0.9035,0.8573,0.9303,0.8070,0.8603,0.8383,0.8410,0.8432,0.7833,0.9173,0.8639,0.8368,0.9289,0.9515
