target_poem,view,nearest_poem,nearest_group,cosine
凤凰台上忆吹箫·寸寸微云,func,十六字令,吴藻,0.631
凤凰台上忆吹箫·寸寸微云,uni,十六字令,吴藻,0.228
凤凰台上忆吹箫·寸寸微云,bigram,行香子·长夜迢迢,吴藻,0.050
凤凰台上忆吹箫·寸寸微云,mfw100,十六字令,吴藻,0.408
凤凰台上忆吹箫·寸寸微云,tfidf-uni,行香子·长夜迢迢,吴藻,0.141
凤凰台上忆吹箫·寸寸微云,prosodic,南乡子·咏瑞香,顾太清,0.996
惜黄花慢·孤雁,func,水龙吟·秋声,项鸿祚,0.502
惜黄花慢·孤雁,uni,水龙吟·秋声,项鸿祚,0.265
惜黄花慢·孤雁,bigram,醉翁操·题云林湖月沁琴图小照,顾太清,0.020
惜黄花慢·孤雁,mfw100,江城子·落花,顾太清,0.432
惜黄花慢·孤雁,tfidf-uni,水龙吟·秋声,项鸿祚,0.188
惜黄花慢·孤雁,prosodic,玉烛新·白海棠,顾太清,0.990
望江南·春不见,func,浣溪沙·一卷离骚一卷经,吴藻,0.546
望江南·春不见,uni,临江仙四首 其一,项鸿祚,0.277
望江南·春不见,bigram,水龙吟·秋声,项鸿祚,0.027
望江南·春不见,mfw100,临江仙四首 其一,项鸿祚,0.494
望江南·春不见,tfidf-uni,临江仙四首 其一,项鸿祚,0.145
望江南·春不见,prosodic,洞仙歌·珊珊琐骨,吴藻,0.999
薄幸·咏疟,func,水龙吟·秋声,项鸿祚,0.510
薄幸·咏疟,uni,江城子·落花,顾太清,0.236
薄幸·咏疟,bigram,玉烛新·白海棠,顾太清,0.019
薄幸·咏疟,mfw100,江城子·落花,顾太清,0.456
薄幸·咏疟,tfidf-uni,临江仙四首 其一,项鸿祚,0.135
薄幸·咏疟,prosodic,玉烛新·白海棠,顾太清,0.999
春从天上来·饷耕,func,太常引·客中闻歌,项鸿祚,0.445
春从天上来·饷耕,uni,太常引·客中闻歌,项鸿祚,0.298
春从天上来·饷耕,bigram,减字木兰花·春夜闻隔墙歌吹声,项鸿祚,0.029
春从天上来·饷耕,mfw100,太常引·客中闻歌,项鸿祚,0.464
春从天上来·饷耕,tfidf-uni,太常引·客中闻歌,项鸿祚,0.174
春从天上来·饷耕,prosodic,行香子·长夜迢迢,吴藻,0.999
摸鱼儿·谢邻女韩西馈食,func,玉漏迟三首·其二,项鸿祚,0.567
摸鱼儿·谢邻女韩西馈食,uni,苏幕遮·曲栏干,吴藻,0.258
摸鱼儿·谢邻女韩西馈食,bigram,苏幕遮·曲栏干,吴藻,0.050
摸鱼儿·谢邻女韩西馈食,mfw100,金缕曲·闷欲呼天说,吴藻,0.535
摸鱼儿·谢邻女韩西馈食,tfidf-uni,苏幕遮·曲栏干,吴藻,0.163
摸鱼儿·谢邻女韩西馈食,prosodic,玉烛新·白海棠,顾太清,0.997
湿罗衣·世间难吐是幽情,func,太常引·客中闻歌,项鸿祚,0.706
湿罗衣·世间难吐是幽情,uni,临江仙·寒柳,纳兰性德,0.238
湿罗衣·世间难吐是幽情,bigram,金缕曲·咏白海棠,顾太清,0.042
湿罗衣·世间难吐是幽情,mfw100,太常引·客中闻歌,项鸿祚,0.470
湿罗衣·世间难吐是幽情,tfidf-uni,临江仙四首 其一,项鸿祚,0.164
湿罗衣·世间难吐是幽情,prosodic,江城子·落花,顾太清,0.991
一剪梅·寒热如潮势未平,func,玉烛新·白海棠,顾太清,0.373
一剪梅·寒热如潮势未平,uni,玉烛新·白海棠,顾太清,0.187
一剪梅·寒热如潮势未平,bigram,采桑子·谁翻乐府凄凉曲,纳兰性德,0.017
一剪梅·寒热如潮势未平,mfw100,偶成赠懒云上人 其二,史震林,0.379
一剪梅·寒热如潮势未平,tfidf-uni,洞仙歌·珊珊琐骨,吴藻,0.123
一剪梅·寒热如潮势未平,prosodic,南乡子·咏瑞香,顾太清,0.996
凤凰台上忆吹箫·残灯,func,水龙吟·秋声,项鸿祚,0.531
凤凰台上忆吹箫·残灯,uni,水龙吟·秋声,项鸿祚,0.256
凤凰台上忆吹箫·残灯,bigram,采桑子·明月多情应笑我,纳兰性德,0.045
凤凰台上忆吹箫·残灯,mfw100,水龙吟·秋声,项鸿祚,0.474
凤凰台上忆吹箫·残灯,tfidf-uni,水龙吟·秋声,项鸿祚,0.147
凤凰台上忆吹箫·残灯,prosodic,减字木兰花·春夜闻隔墙歌吹声,项鸿祚,0.996
春从天上来·梅花,func,湘月,项鸿祚,0.445
春从天上来·梅花,uni,江城子·落花,顾太清,0.305
春从天上来·梅花,bigram,采桑子·明月多情应笑我,纳兰性德,0.029
春从天上来·梅花,mfw100,江城子·落花,顾太清,0.551
春从天上来·梅花,tfidf-uni,风入松二首 其一,项鸿祚,0.150
春从天上来·梅花,prosodic,采桑子·而今才道当时错,纳兰性德,0.997
