title,author,group,genre,n_chars,n_types,TTR,hapax_ratio,shannon_bits,yule_K,simpson_D,mean_clause_len,n_clauses,func_word_rate
满江红·怒发冲冠（写怀）,岳飞（传，待考）,待考,词,93,87,0.9355,0.9310,6.4101,13.87,0.0014,4.23,22,0.1183
小重山·昨夜寒蛩不住鸣,岳飞,岳飞,词,58,57,0.9828,0.9825,5.8235,5.95,0.0006,4.83,12,0.1897
满江红·登黄鹤楼有感,岳飞,岳飞,词,93,89,0.9570,0.9551,6.4531,9.25,0.0009,4.23,22,0.1398
题青泥市萧寺壁,岳飞,岳飞,诗,28,27,0.9643,0.9630,4.7359,25.51,0.0026,7.00,4,0.1429
池州翠微亭,岳飞,岳飞,诗,28,26,0.9286,0.9231,4.6645,51.02,0.0053,7.00,4,0.1429
送紫岩张先生北伐,岳飞,岳飞,诗,40,40,1.0000,1.0000,5.3219,0.00,0.0000,5.00,8,0.1250
寄浮图慧海,岳飞,岳飞,诗,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.00,8,0.1071
题翠岩寺,岳飞（传）,岳飞,诗,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.00,8,0.1429
五岳祠盟记,岳飞,岳飞,文,134,109,0.8134,0.8073,6.6704,32.30,0.0033,4.62,29,0.2388
题骤马冈,岳飞,岳飞,诗,56,56,1.0000,1.0000,5.8074,0.00,0.0000,7.00,8,0.1250
题鄱阳龙居寺,岳飞,岳飞,诗,40,40,1.0000,1.0000,5.3219,0.00,0.0000,5.00,8,0.1250
过张溪赠张完,岳飞,岳飞,诗,28,27,0.9643,0.9630,4.7359,25.51,0.0026,7.00,4,0.1786
送轸上人之庐山,岳飞,岳飞,诗,56,56,1.0000,1.0000,5.8074,0.00,0.0000,7.00,8,0.2143
良马对（论马）,岳飞,岳飞,文,175,120,0.6857,0.7500,6.6197,86.20,0.0087,4.73,37,0.3257
满江红·与祝允哲述怀,岳飞（族谱所载，存疑）,发现存疑,词,93,91,0.9785,0.9780,6.4961,4.62,0.0005,4.23,22,0.1398
满江红·和岳元帅述怀,祝允哲（族谱所载，存疑）,发现存疑,词,93,89,0.9570,0.9663,6.4450,11.56,0.0012,4.23,22,0.0753
满江红·江汉西来（寄鄂州朱使君寿昌）,苏轼,对照,词,93,87,0.9355,0.9540,6.3939,18.50,0.0019,4.23,22,0.1935
次林员外新店驿壁间三首 其一,王越,王越,诗,40,40,1.0000,1.0000,5.3219,0.00,0.0000,5.00,8,0.1250
次林员外新店驿壁间三首 其二,王越,王越,诗,40,39,0.9750,0.9744,5.2719,12.50,0.0013,5.00,8,0.1750
次林员外新店驿壁间三首 其三,王越,王越,诗,40,40,1.0000,1.0000,5.3219,0.00,0.0000,5.00,8,0.1250
登大同角楼次刘草窗韵,王越,王越,诗,56,54,0.9643,0.9630,5.7359,12.76,0.0013,7.00,8,0.1071
东寺寒泉,王越,王越,诗,56,54,0.9643,0.9630,5.7359,12.76,0.0013,7.00,8,0.0714
水帘飞雪,王越,王越,诗,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.00,8,0.1964
红山西照,王越,王越,诗,56,56,1.0000,1.0000,5.8074,0.00,0.0000,7.00,8,0.1607
襄阳怀古,王越,王越,诗,56,56,1.0000,1.0000,5.8074,0.00,0.0000,7.00,8,0.0714
同唐佥宪游吉祥寺,王越,王越,诗,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.00,8,0.0714
和邹克清韵 其一,王越,王越,诗,56,56,1.0000,1.0000,5.8074,0.00,0.0000,7.00,8,0.1429
和游卫水韵,王越,王越,诗,56,54,0.9643,0.9630,5.7359,12.76,0.0013,7.00,8,0.1786
和邹克清韵 其二,王越,王越,诗,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.00,8,0.1786
自咏,王越,王越,诗,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.00,8,0.1429
次尹同仁冢宰韵,王越,王越,诗,56,54,0.9643,0.9630,5.7359,12.76,0.0013,7.00,8,0.1786
端午,王越,王越,诗,56,56,1.0000,1.0000,5.8074,0.00,0.0000,7.00,8,0.1071
次马执之韵,王越,王越,诗,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.00,8,0.1429
过寺吟景,王越,王越,诗,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.00,8,0.1607
过回中山,王越,王越,诗,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.00,8,0.1786
夜坐,王越,王越,诗,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.00,8,0.1250
送陈宗理,王越,王越,诗,56,54,0.9643,0.9630,5.7359,12.76,0.0013,7.00,8,0.1964
登伾山,王越,王越,诗,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.00,8,0.1071
小金山,王越,王越,诗,56,53,0.9464,0.9434,5.7002,19.13,0.0019,7.00,8,0.1250
送李世望,王越,王越,诗,56,55,0.9821,0.9818,5.7716,6.38,0.0006,7.00,8,0.1964
