group_a,group_b,cos_func,cos_uni,cos_bi,burrows_delta_func,jsd_uni,jsd_bi
发现存疑,对照,0.3750,0.1263,0.0077,0.5341,0.8711,0.9898
发现存疑,岳飞,0.3462,0.3292,0.0246,0.6055,0.6796,0.9710
发现存疑,待考,0.4308,0.4440,0.3151,0.3784,0.5394,0.6913
发现存疑,王越,0.3781,0.2831,0.0041,0.3767,0.7387,0.9850
对照,岳飞,0.2885,0.1824,0.0035,0.7731,0.8349,0.9901
对照,待考,0.1846,0.0654,0.0000,0.5981,0.9314,1.0000
对照,王越,0.4186,0.2448,0.0000,0.5223,0.7746,0.9911
岳飞,待考,0.1705,0.2416,0.0174,0.7522,0.7822,0.9801
岳飞,王越,0.7153,0.5481,0.0148,0.4530,0.5110,0.9718
待考,王越,0.2992,0.2779,0.0029,0.4960,0.7960,0.9890
