,待考|满江红·怒发冲冠（写怀）,岳飞|小重山·昨夜寒蛩不住鸣,岳飞|满江红·登黄鹤楼有感,岳飞|题青泥市萧寺壁,岳飞|池州翠微亭,岳飞|送紫岩张先生北伐,岳飞|寄浮图慧海,岳飞|题翠岩寺,岳飞|五岳祠盟记,岳飞|题骤马冈,岳飞|题鄱阳龙居寺,岳飞|过张溪赠张完,岳飞|送轸上人之庐山,岳飞|良马对（论马）,发现存疑|满江红·与祝允哲述怀,发现存疑|满江红·和岳元帅述怀,对照|满江红·江汉西来（寄鄂州朱使君寿昌）,王越|次林员外新店驿壁间三首 其一,王越|次林员外新店驿壁间三首 其二,王越|次林员外新店驿壁间三首 其三,王越|登大同角楼次刘草窗韵,王越|东寺寒泉,王越|水帘飞雪,王越|红山西照,王越|襄阳怀古,王越|同唐佥宪游吉祥寺,王越|和邹克清韵 其一,王越|和游卫水韵,王越|和邹克清韵 其二,王越|自咏,王越|次尹同仁冢宰韵,王越|端午,王越|次马执之韵,王越|过寺吟景,王越|过回中山,王越|夜坐,王越|送陈宗理,王越|登伾山,王越|小金山,王越|送李世望
待考|满江红·怒发冲冠（写怀）,1.0000,0.0414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,0.0000,0.0000,0.0000,0.0201,0.0000,0.0000,0.3913,0.0543,0.0000,0.0000,0.0000,0.0000,0.0141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
岳飞|小重山·昨夜寒蛩不住鸣,0.0414,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
岳飞|满江红·登黄鹤楼有感,0.0000,0.0000,1.0000,0.0000,0.0000,0.0330,0.0000,0.0000,0.0088,0.0139,0.0165,0.0000,0.0000,0.0000,0.0108,0.0000,0.0108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
岳飞|题青泥市萧寺壁,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
岳飞|池州翠微亭,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0259,0.0000,0.0000,0.0000,0.0000,0.0259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0259,0.0000,0.0000
岳飞|送紫岩张先生北伐,0.0000,0.0000,0.0330,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0216,0.0000,0.0000,0.0000
岳飞|寄浮图慧海,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
岳飞|题翠岩寺,0.0141,0.0179,0.0000,0.0000,0.0259,0.0000,0.0000,1.0000,0.0346,0.0000,0.0000,0.0000,0.0182,0.0000,0.0000,0.0281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182
岳飞|五岳祠盟记,0.0000,0.0000,0.0088,0.0000,0.0000,0.0000,0.0000,0.0346,1.0000,0.0000,0.0000,0.0000,0.0000,0.0121,0.0178,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
岳飞|题骤马冈,0.0000,0.0000,0.0139,0.0259,0.0000,0.0216,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.0000,0.0000,0.0000
岳飞|题鄱阳龙居寺,0.0000,0.0000,0.0165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
