,待考|满江红·怒发冲冠（写怀）,岳飞|小重山·昨夜寒蛩不住鸣,岳飞|满江红·登黄鹤楼有感,岳飞|题青泥市萧寺壁,岳飞|池州翠微亭,岳飞|送紫岩张先生北伐,岳飞|寄浮图慧海,岳飞|题翠岩寺,岳飞|五岳祠盟记,岳飞|题骤马冈,岳飞|题鄱阳龙居寺,岳飞|过张溪赠张完,岳飞|送轸上人之庐山,岳飞|良马对（论马）,发现存疑|满江红·与祝允哲述怀,发现存疑|满江红·和岳元帅述怀,对照|满江红·江汉西来（寄鄂州朱使君寿昌）,王越|次林员外新店驿壁间三首 其一,王越|次林员外新店驿壁间三首 其二,王越|次林员外新店驿壁间三首 其三,王越|登大同角楼次刘草窗韵,王越|东寺寒泉,王越|水帘飞雪,王越|红山西照,王越|襄阳怀古,王越|同唐佥宪游吉祥寺,王越|和邹克清韵 其一,王越|和游卫水韵,王越|和邹克清韵 其二,王越|自咏,王越|次尹同仁冢宰韵,王越|端午,王越|次马执之韵,王越|过寺吟景,王越|过回中山,王越|夜坐,王越|送陈宗理,王越|登伾山,王越|小金山,王越|送李世望
待考|满江红·怒发冲冠（写怀）,0.0000,0.8597,0.9032,0.9637,0.9001,0.8832,0.8926,0.8770,0.8696,0.8985,0.8906,0.8912,0.8848,0.9424,0.4784,0.8198,0.9314,0.9685,0.8748,0.9221,0.8985,0.8652,0.8575,0.8789,0.9531,0.8685,0.8711,0.8848,0.8685,0.9727,0.8789,0.9668,0.8907,0.8789,0.8867,0.9258,0.8985,0.8457,0.8789,0.9003
岳飞|小重山·昨夜寒蛩不住鸣,0.8597,0.0000,0.9001,0.9518,0.8795,0.9176,0.9123,0.8706,0.9243,0.9474,0.8146,0.9036,0.8596,0.8821,0.8866,0.8463,0.8924,0.9176,0.9176,0.8352,0.9123,0.9123,0.8772,0.9298,0.8596,0.9123,0.9123,0.8641,0.7829,0.8992,0.9298,0.9298,0.8772,0.8596,0.8772,0.7895,0.9123,0.9298,0.8245,0.8947
岳飞|满江红·登黄鹤楼有感,0.9032,0.9001,0.0000,0.9456,0.8820,0.8896,0.9258,0.8770,0.8441,0.9454,0.8980,0.9637,0.8789,0.9181,0.8777,0.8884,0.8669,0.9211,0.9379,0.9138,0.8711,0.9409,0.8165,0.8438,0.9121,0.9121,0.8985,0.8726,0.9091,0.9590,0.9044,0.9121,0.9121,0.8789,0.9121,0.9317,0.8848,0.9395,0.8985,0.8848
岳飞|题青泥市萧寺壁,0.9637,0.9518,0.9456,0.0000,0.9643,0.9407,0.9754,0.9754,0.9713,0.9262,1.0000,1.0000,1.0000,0.9397,0.9093,0.8912,0.9479,0.9703,1.0000,0.9703,1.0000,0.9508,0.9508,0.9508,0.9754,0.9508,1.0000,0.9643,0.9508,0.9643,0.9754,0.9262,0.9754,0.9262,0.9508,0.9432,0.9754,0.9508,0.9262,0.9754
岳飞|池州翠微亭,0.9001,0.8795,0.8820,0.9643,0.0000,0.9110,0.9262,0.8413,0.9348,0.9016,0.9110,0.9286,0.8278,0.9129,0.9275,0.9456,0.9637,1.0000,0.9110,0.8813,0.9262,0.9754,0.9262,0.9186,0.9016,0.8770,0.9016,0.9040,0.8337,0.9151,0.9016,0.9016,0.9016,0.8770,0.8770,0.9508,0.9508,0.8770,0.8524,0.8694
岳飞|送紫岩张先生北伐,0.8832,0.9176,0.8896,0.9407,0.9110,0.0000,0.8950,0.8950,0.9052,0.8740,0.9000,0.9703,0.9370,0.9099,0.8581,0.9369,0.9527,0.9500,0.9500,0.9750,0.9790,0.9370,0.9370,0.9370,0.9790,0.9160,0.9580,0.8863,0.8740,0.9580,0.9160,0.9790,0.9160,0.9580,0.9160,0.9580,0.8950,0.9160,0.9580,0.8320
岳飞|寄浮图慧海,0.8926,0.9123,0.9258,0.9754,0.9262,0.8950,0.0000,0.7790,0.8899,0.9286,0.8530,1.0000,0.9107,0.9495,0.9317,0.9180,0.9218,0.9790,0.9790,0.9160,0.9218,0.9286,0.8929,0.8571,0.9464,0.9107,0.9643,0.9575,0.8929,0.9754,0.9218,0.9286,0.8929,0.9286,0.9286,0.9821,0.9286,0.8929,0.9286,0.8750
岳飞|题翠岩寺,0.8770,0.8706,0.8770,0.9754,0.8413,0.8950,0.7790,0.0000,0.8677,0.8929,0.8653,1.0000,0.7968,0.9435,0.8940,0.8354,0.9310,0.9370,0.9073,0.8653,0.8794,0.9397,0.8683,0.8861,0.9040,0.8794,0.8683,0.9218,0.9286,0.9643,0.9643,0.9218,0.9107,0.9040,0.9040,0.9286,0.8750,0.8683,0.9218,0.8504
岳飞|五岳祠盟记,0.8696,0.9243,0.8441,0.9713,0.9348,0.9052,0.8899,0.8677,0.0000,0.9084,0.9874,0.9492,0.9557,0.8352,0.7634,0.8340,0.9341,0.9068,0.9874,0.9116,0.9364,0.9468,0.9084,0.9342,0.9668,0.9468,0.9142,0.9055,0.8957,0.9029,0.8921,0.9668,0.9305,0.9446,0.9394,0.8915,0.9283,0.9283,0.8973,0.9140
岳飞|题骤马冈,0.8985,0.9474,0.9454,0.9262,0.9016,0.8740,0.9286,0.8929,0.9084,0.0000,0.9580,0.9754,0.8929,0.9084,0.9044,0.9317,0.9454,0.9370,0.8740,0.8950,0.9643,0.9107,0.8750,0.9107,0.8750,0.8504,0.8750,0.8861,0.9464,0.9575,0.8571,0.9286,0.8750,0.9107,0.9464,0.9107,0.9107,0.9107,0.8571,0.8929
岳飞|题鄱阳龙居寺,0.8906,0.8146,0.8980,1.0000,0.9110,0.9000,0.8530,0.8653,0.9874,0.9580,0.0000,0.9407,0.8320,0.9567,0.9211,0.9086,0.8738,0.9500,0.9250,0.9250,0.9160,0.8233,0.7900,0.9160,0.9160,0.8110,0.9370,0.8740,0.8950,0.9160,0.9370,0.9580,0.8950,0.8740,0.9370,0.9160,0.8653,0.8110,0.8110,0.7814
