view,true_group,title,predicted
func,岳飞,小重山·昨夜寒蛩不住鸣,王越
func,岳飞,满江红·登黄鹤楼有感,王越
func,岳飞,题青泥市萧寺壁,王越
func,岳飞,池州翠微亭,岳飞
func,岳飞,送紫岩张先生北伐,岳飞
func,岳飞,寄浮图慧海,岳飞
func,岳飞,题翠岩寺,岳飞
func,岳飞,五岳祠盟记,王越
func,岳飞,题骤马冈,王越
func,岳飞,题鄱阳龙居寺,王越
func,岳飞,过张溪赠张完,王越
func,岳飞,送轸上人之庐山,王越
func,岳飞,良马对（论马）,王越
func,王越,次林员外新店驿壁间三首 其一,王越
func,王越,次林员外新店驿壁间三首 其二,王越
func,王越,次林员外新店驿壁间三首 其三,王越
func,王越,登大同角楼次刘草窗韵,王越
func,王越,东寺寒泉,王越
func,王越,水帘飞雪,王越
func,王越,红山西照,王越
func,王越,襄阳怀古,岳飞
func,王越,同唐佥宪游吉祥寺,王越
func,王越,和邹克清韵 其一,王越
func,王越,和游卫水韵,岳飞
func,王越,和邹克清韵 其二,王越
func,王越,自咏,王越
func,王越,次尹同仁冢宰韵,王越
func,王越,端午,王越
func,王越,次马执之韵,岳飞
func,王越,过寺吟景,王越
func,王越,过回中山,王越
func,王越,夜坐,王越
func,王越,送陈宗理,王越
func,王越,登伾山,王越
func,王越,小金山,王越
func,王越,送李世望,岳飞
uni,岳飞,小重山·昨夜寒蛩不住鸣,王越
uni,岳飞,满江红·登黄鹤楼有感,王越
uni,岳飞,题青泥市萧寺壁,岳飞
uni,岳飞,池州翠微亭,岳飞
uni,岳飞,送紫岩张先生北伐,岳飞
uni,岳飞,寄浮图慧海,岳飞
uni,岳飞,题翠岩寺,岳飞
uni,岳飞,五岳祠盟记,岳飞
uni,岳飞,题骤马冈,王越
uni,岳飞,题鄱阳龙居寺,王越
uni,岳飞,过张溪赠张完,王越
uni,岳飞,送轸上人之庐山,王越
uni,岳飞,良马对（论马）,王越
uni,王越,次林员外新店驿壁间三首 其一,王越
uni,王越,次林员外新店驿壁间三首 其二,王越
uni,王越,次林员外新店驿壁间三首 其三,王越
uni,王越,登大同角楼次刘草窗韵,王越
uni,王越,东寺寒泉,王越
uni,王越,水帘飞雪,王越
uni,王越,红山西照,王越
uni,王越,襄阳怀古,王越
uni,王越,同唐佥宪游吉祥寺,王越
uni,王越,和邹克清韵 其一,王越
uni,王越,和游卫水韵,王越
uni,王越,和邹克清韵 其二,王越
uni,王越,自咏,王越
uni,王越,次尹同仁冢宰韵,王越
uni,王越,端午,王越
uni,王越,次马执之韵,王越
uni,王越,过寺吟景,王越
uni,王越,过回中山,王越
uni,王越,夜坐,王越
uni,王越,送陈宗理,王越
uni,王越,登伾山,王越
uni,王越,小金山,王越
uni,王越,送李世望,王越
bi,岳飞,小重山·昨夜寒蛩不住鸣,王越
bi,岳飞,满江红·登黄鹤楼有感,岳飞
bi,岳飞,题青泥市萧寺壁,岳飞
bi,岳飞,池州翠微亭,岳飞
bi,岳飞,送紫岩张先生北伐,岳飞
bi,岳飞,寄浮图慧海,岳飞
bi,岳飞,题翠岩寺,岳飞
bi,岳飞,五岳祠盟记,岳飞
bi,岳飞,题骤马冈,岳飞
bi,岳飞,题鄱阳龙居寺,岳飞
bi,岳飞,过张溪赠张完,岳飞
bi,岳飞,送轸上人之庐山,王越
bi,岳飞,良马对（论马）,岳飞
bi,王越,次林员外新店驿壁间三首 其一,岳飞
bi,王越,次林员外新店驿壁间三首 其二,岳飞
bi,王越,次林员外新店驿壁间三首 其三,王越
bi,王越,登大同角楼次刘草窗韵,王越
bi,王越,东寺寒泉,岳飞
bi,王越,水帘飞雪,岳飞
bi,王越,红山西照,王越
bi,王越,襄阳怀古,岳飞
bi,王越,同唐佥宪游吉祥寺,王越
bi,王越,和邹克清韵 其一,王越
bi,王越,和游卫水韵,岳飞
bi,王越,和邹克清韵 其二,王越
bi,王越,自咏,王越
bi,王越,次尹同仁冢宰韵,岳飞
bi,王越,端午,王越
bi,王越,次马执之韵,王越
bi,王越,过寺吟景,王越
bi,王越,过回中山,王越
bi,王越,夜坐,王越
bi,王越,送陈宗理,岳飞
bi,王越,登伾山,王越
bi,王越,小金山,王越
bi,王越,送李世望,岳飞
